Review text,Ratings
thisbis very good product but price is to much price will be 800READ MORE,Positive Review
classic chumma chiseledREAD MORE,Positive Review
Excellent productREAD MORE,Positive Review
Good productREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Quality goodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Product was too bad and quality not good as expected.. Earlier we bought same product and used each shuttle for a week.. This product not sure why it got damaged with in a day.. please check and do the needful ASAPREAD MORE,Negative Review
GoodREAD MORE,Negative Review
"Quality of product is not good, cork broken only within one hours.READ MORE",Negative Review
goodREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
NiceREAD MORE,Positive Review
NiceREAD MORE,Positive Review
"No shuttlecocks can compete this one, in terms of flight, durability, exactness, well balanced!READ MORE",Positive Review
very good productREAD MORE,Positive Review
Firstly  Yonex is best company  for badminton and this shuttle is better than Yonex 250READ MORE,Positive Review
GoodREAD MORE,Negative Review
"Very good product,thank you flipkartREAD MORE",Positive Review
UnbeatableREAD MORE,Positive Review
Timed delivery. SatisfyingREAD MORE,Positive Review
This is very niceREAD MORE,Positive Review
"If Price would be around 850, then it's betterREAD MORE",Positive Review
Not niceREAD MORE,Negative Review
SatisfiedREAD MORE,Positive Review
Ok fineREAD MORE,Positive Review
Not so good in terms of durabilityREAD MORE,Negative Review
Very good qualityREAD MORE,Positive Review
Nice shuttles. Played 9 games so far without baby damage to the shuttles. It will last another 8-9 gamesREAD MORE,Positive Review
Nice productREAD MORE,Positive Review
I am well satisfied.I am very greatful to flipkart.Hope that in future order also you will deliver me the right goods.ThankuREAD MORE,Positive Review
Good qualityREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Its original product. You are not going to waste your money. Feel free to buy 😄.READ MORE,Positive Review
SuperREAD MORE,Positive Review
Best in seeREAD MORE,Positive Review
2 shuttles missingREAD MORE,Negative Review
Nice productsREAD MORE,Positive Review
Good productREAD MORE,Positive Review
Quality - excellentREAD MORE,Positive Review
PerfectREAD MORE,Positive Review
Nyc productREAD MORE,Positive Review
"Nothing much to tellAlways best product for badminton ,READ MORE",Negative Review
GoodREAD MORE,Positive Review
Products are good qualityREAD MORE,Positive Review
Nice productREAD MORE,Positive Review
The quality of the shuttle wasn't upto the mark and also it started deteriorating after 3-4 matches onlyREAD MORE,Negative Review
Awesome!READ MORE,Positive Review
GoodREAD MORE,Positive Review
ORGREAD MORE,Positive Review
NiceREAD MORE,Positive Review
I was so happy 😁😁.It is very good product in Yonex Mavis 350 nylon shuttle.READ MORE,Positive Review
CoolREAD MORE,Positive Review
GreatREAD MORE,Positive Review
Satisfied....READ MORE,Positive Review
NiceREAD MORE,Positive Review
Good shuttle for defensive play Better for intermediate playersBeginner is mavis 10 bestREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Although genuine product but durability is very lessREAD MORE,Positive Review
nice product and durableREAD MORE,Positive Review
Nice product but delivery is very delayREAD MORE,Positive Review
Genuine product 👍READ MORE,Positive Review
It is a waste product and I suggest the people to not bay from FlipkartREAD MORE,Negative Review
Used productsREAD MORE,Negative Review
Durability is not good as expected. It usually last for 4-5daysREAD MORE,Negative Review
Good and best productREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Worst experience with this purchaseREAD MORE,Negative Review
GoodREAD MORE,Negative Review
Long lastingREAD MORE,Positive Review
Super...READ MORE,Positive Review
Good qualityREAD MORE,Positive Review
SupperREAD MORE,Positive Review
Very nice product....READ MORE,Positive Review
AwesomeREAD MORE,Positive Review
Good product But price is on higher sideREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Good one... On problem for  20 to 30 days..READ MORE,Positive Review
Nice qualityREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Best durability little slow but similar flight as feather shuttle tournament grade.READ MORE,Positive Review
As usual . Awesome and best among all the shuttles brands.READ MORE,Positive Review
SUPPERBREAD MORE,Positive Review
Excellent productREAD MORE,Positive Review
NiceREAD MORE,Positive Review
AwsmREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Great QualityREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Nice productSafe deliveryREAD MORE,Positive Review
Excellent productREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
OkREAD MORE,Negative Review
Nice oneREAD MORE,Positive Review
This quality goodREAD MORE,Negative Review
"Original product I got, happy with deliveryREAD MORE",Positive Review
So good 👍 service also nice 👌READ MORE,Positive Review
Generally it's base broke in some of the shuttleREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Original shuttle. Great experienceREAD MORE,Positive Review
Some of the items not good qualityREAD MORE,Negative Review
Very goodREAD MORE,Positive Review
Good oneREAD MORE,Positive Review
Nice 👍READ MORE,Positive Review
GoodREAD MORE,Positive Review
Very fineREAD MORE,Positive Review
ExcellentREAD MORE,Positive Review
ExcellentREAD MORE,Positive Review
Original product.. very good qualityREAD MORE,Positive Review
The shuttle are good.... If u play normally it can last for more than week.... But since I mostly smash and have usually serious play.... So lasting for 3-4 days........... Would say go for itREAD MORE,Negative Review
Nice service and very fast delivery and appropriate item not like other on line storesREAD MORE,Positive Review
Good 👍READ MORE,Positive Review
Inside the shuttle was of local brand and was abysmal in quality.READ MORE,Negative Review
GoodREAD MORE,Positive Review
Must buyREAD MORE,Positive Review
Thanks🙏 nice👍READ MORE,Positive Review
SuperREAD MORE,Positive Review
Best shuttlecock for playing indoor as well as you can use for outdoor gaming.READ MORE,Positive Review
It is good productREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Good productREAD MORE,Positive Review
Best qualityREAD MORE,Positive Review
Great dealREAD MORE,Positive Review
Got the genuine yonex productREAD MORE,Positive Review
Good quality as expected.READ MORE,Positive Review
goodREAD MORE,Positive Review
Nice product advance deliveryREAD MORE,Positive Review
SuperREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Good qualityREAD MORE,Positive Review
Super shuttle......very strong and slowREAD MORE,Positive Review
GoodREAD MORE,Positive Review
LovedREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Grt . ButPrice is increasing day by day .READ MORE,Positive Review
"Excellent product, worth for moneyREAD MORE",Positive Review
Go for it. Very good quality.READ MORE,Positive Review
Good quality 👌READ MORE,Positive Review
Good qualityREAD MORE,Positive Review
Good.... Bt the price was somewhat more than that of market priceREAD MORE,Positive Review
NiceREAD MORE,Positive Review
very good 😍😍READ MORE,Positive Review
Nice oneREAD MORE,Positive Review
Super product.. Plastic seal brokenREAD MORE,Positive Review
Good quality product but price has been increased a little bitREAD MORE,Positive Review
Great qualityREAD MORE,Positive Review
Yonex 350 coack is very good for badmintonREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Mavis 350  good productREAD MORE,Positive Review
NiceREAD MORE,Positive Review
A lil bit costly but DurableREAD MORE,Positive Review
GoodREAD MORE,Positive Review
2 shuttles are damaged otherwise it's okay...READ MORE,Negative Review
PowerREAD MORE,Negative Review
Best for shuttleREAD MORE,Positive Review
AvarageREAD MORE,Positive Review
Best product..READ MORE,Positive Review
Nice oneREAD MORE,Positive Review
superbbbbbREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Soo badREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Original and awesomeREAD MORE,Positive Review
Nice productREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Very best..best quality...READ MORE,Positive Review
good qualityREAD MORE,Positive Review
Good productREAD MORE,Positive Review
It is very good quality but the rate is little higher.READ MORE,Positive Review
Not durableREAD MORE,Negative Review
Nice productREAD MORE,Positive Review
Too much costREAD MORE,Positive Review
Good product best qualityREAD MORE,Positive Review
Always best.READ MORE,Positive Review
Good quality shuttles for indoor play. Go for it.READ MORE,Positive Review
It's good must buy it .....READ MORE,Positive Review
product is very niceREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Must buyREAD MORE,Positive Review
Shuttles box was crushed.. very badREAD MORE,Negative Review
Good product  love it.READ MORE,Positive Review
Good one..!!READ MORE,Positive Review
Super qualityREAD MORE,Positive Review
GoodREAD MORE,Negative Review
All good but price should be lowerREAD MORE,Positive Review
Very niceREAD MORE,Positive Review
Very nice shuttle And good balancing shuttleREAD MORE,Positive Review
Best product for beginners playing outside.READ MORE,Positive Review
GenuineREAD MORE,Positive Review
Very slow worstREAD MORE,Negative Review
GOODREAD MORE,Positive Review
Very good productREAD MORE,Positive Review
Products was good but the cap wasn't good and it's not a long lasting shuttleREAD MORE,Negative Review
FireREAD MORE,Positive Review
Super Fast Delivery Un ExpectedREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Excellent to play..READ MORE,Positive Review
Ultimate shuttleREAD MORE,Positive Review
SuperREAD MORE,Positive Review
It's a genuine and good productREAD MORE,Positive Review
Nice oneREAD MORE,Negative Review
Good product nd good pack thank flipkartREAD MORE,Positive Review
Super productREAD MORE,Positive Review
Very less durable... Each piece gone in three daysREAD MORE,Positive Review
Very bad product all the corcks are ccracked one'sREAD MORE,Negative Review
Original shuttle very  niceREAD MORE,Positive Review
NiceREAD MORE,Negative Review
Good qualityREAD MORE,Positive Review
Quality is very poooooorREAD MORE,Negative Review
"Overall good product. However, out of 6, found one shuttle is not up to the mark and is revolving like a bullet. A waste of money. Not sure if the vendor is selling genuine products at all.READ MORE",Negative Review
Nice but 77 gm very niceREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Very super productREAD MORE,Positive Review
Very nice.. 10/10 marks for quality and  durability..READ MORE,Positive Review
GoodREAD MORE,Positive Review
GooodREAD MORE,Positive Review
Nice shuttleREAD MORE,Positive Review
Best and most consistent shuttle cork for regular players. Original product delivered. This shuttle is used in most of the junior tournaments across the world.READ MORE,Positive Review
SuperREAD MORE,Positive Review
Genuine purchaseREAD MORE,Positive Review
The shuttles (green) are very fast. Not enjoying the game just little push or lift shuttles going out.READ MORE,Negative Review
Absolutely originalREAD MORE,Positive Review
VeryREAD MORE,Positive Review
Genuine productREAD MORE,Positive Review
"Good quality, original.READ MORE",Positive Review
Good qualityREAD MORE,Positive Review
Really good quality shuttles...READ MORE,Positive Review
GoodREAD MORE,Positive Review
SUPEBREAD MORE,Positive Review
very bad productREAD MORE,Negative Review
Good productREAD MORE,Positive Review
OutstandingREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Very good qualityREAD MORE,Positive Review
"Indies best plastic shuttle, every player like it , in lockdown price very highREAD MORE",Positive Review
GoodREAD MORE,Positive Review
SuperREAD MORE,Positive Review
"Don't buy it, they are putting adrenex shuttles inside and there is no return policyREAD MORE",Negative Review
Base of the shuttle is not good it was damaged.READ MORE,Negative Review
SuperREAD MORE,Positive Review
2of 6 are just damagedREAD MORE,Negative Review
NceREAD MORE,Positive Review
excellent productREAD MORE,Positive Review
Worst experienceREAD MORE,Negative Review
Quality is not goodREAD MORE,Negative Review
Am happy after use...But give same discountREAD MORE,Positive Review
Average quality productREAD MORE,Negative Review
Good shuttleREAD MORE,Positive Review
100%%%%% original product thanksREAD MORE,Positive Review
"This time around, the quality is so low that, 3 of the 6 pack didn't last an hour. Probably, 2nd quality... Nobody pays market price for 2nd QualityREAD MORE",Positive Review
Service is good ...but so lateREAD MORE,Negative Review
Good prREAD MORE,Positive Review
Quality Much difference when we buy in shop and in FlipkartREAD MORE,Negative Review
Product quality is very good but price is a bit high.READ MORE,Positive Review
It's overall good but there is some small holes in cork which may be caused by some insectsREAD MORE,Negative Review
Waste product. Don't buy this product. Every cork was not properly fixed.READ MORE,Negative Review
Good original shuttleREAD MORE,Positive Review
Good its okREAD MORE,Negative Review
Good qualityREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Fantastic original  with Yonex hologram package fantasticREAD MORE,Positive Review
Too costly not original shuttle rotating badlyREAD MORE,Negative Review
OriginalREAD MORE,Positive Review
Nice shuttleREAD MORE,Positive Review
Good one.Got it on time.Thanks FlipkartREAD MORE,Positive Review
It is niceREAD MORE,Positive Review
Product is good but price is......READ MORE,Positive Review
Excellent condition of shuttlecocks. Timely delivery of a genuine product. Quality is assured in FLIPCART.READ MORE,Positive Review
Durable.READ MORE,Positive Review
Good productREAD MORE,Positive Review
GoodREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Worst . Recieved damaged product. Waste of money.READ MORE,Negative Review
Not suitable for indoor badminton or standard players. I hated it.. Iam not interest to buy this product againREAD MORE,Negative Review
Good product but doubt in originalREAD MORE,Positive Review
GOOD PRODUCTREAD MORE,Positive Review
"received a genuine Yonex Mavis 350 , verified the scratch codeREAD MORE",Positive Review
"Here it is, the perfect shuttle!READ MORE",Positive Review
Looks good but durability is worstREAD MORE,Negative Review
All the shuttles in the box are quite good and long lasting.READ MORE,Positive Review
GoodREAD MORE,Positive Review
"I checked each piece, got the originals. Thank you seller.READ MORE",Positive Review
Got defected piecesREAD MORE,Negative Review
OkREAD MORE,Positive Review
Good oneREAD MORE,Positive Review
Nice product 👍READ MORE,Positive Review
Good qualityREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Good but costlyREAD MORE,Positive Review
Not good one don't bayREAD MORE,Negative Review
Good as always but getting expensive on every purchase .READ MORE,Positive Review
I have received package with good condition but 3shuttles is not goodREAD MORE,Negative Review
Flipkart assured is really good.READ MORE,Positive Review
Average ratingREAD MORE,Negative Review
Gud qualityREAD MORE,Positive Review
Wonderful shuttles. We can play in indoor and outdoor also.READ MORE,Positive Review
Good qualytiREAD MORE,Positive Review
To much costlyREAD MORE,Positive Review
Cheaf quality..READ MORE,Positive Review
SuperbREAD MORE,Positive Review
Good prdt got at 793READ MORE,Positive Review
NiceREAD MORE,Positive Review
As expectedREAD MORE,Positive Review
I used to order it many times but this time the quality is not good..READ MORE,Positive Review
Rate is very highREAD MORE,Positive Review
A very nice product. Everybody can buy.READ MORE,Positive Review
Good productREAD MORE,Positive Review
SuperbREAD MORE,Positive Review
Good qualityREAD MORE,Positive Review
It was good for the game..READ MORE,Positive Review
GoodREAD MORE,Positive Review
Not goodREAD MORE,Negative Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
"Good product , genuine 100%READ MORE",Positive Review
LooseREAD MORE,Negative Review
NiceREAD MORE,Positive Review
NiceREAD MORE,Positive Review
"The shuttle is really good, I and my friends are playing by hitting it very hard smashes everyday, so the shuttle life for me is 3 to 4 weeks. Buy it.READ MORE",Positive Review
Product quality was nice but delivery delay was absolutely disgusting🤢🤢🤢🤢READ MORE,Positive Review
GoodREAD MORE,Positive Review
Nice Flipkart 🥰READ MORE,Positive Review
Totally waste of money. Poor quality shuttle. Very slow moving. We can't even play single game with one shuttleREAD MORE,Negative Review
Best product...👍👍READ MORE,Positive Review
GoodREAD MORE,Positive Review
Same as storeREAD MORE,Positive Review
"Worth the money, good qualityREAD MORE",Positive Review
Durability is superREAD MORE,Positive Review
Good original speed and qualityREAD MORE,Positive Review
GoodREAD MORE,Positive Review
"Very good quality, reasonable price and fast delivery.READ MORE",Positive Review
GoodREAD MORE,Positive Review
Liked it very muchREAD MORE,Positive Review
Super but rate is very highREAD MORE,Positive Review
Nice product.READ MORE,Positive Review
Good and sooper.READ MORE,Positive Review
Great productREAD MORE,Positive Review
Nice product.READ MORE,Positive Review
Bad qualityREAD MORE,Negative Review
Worth of Money.. We are always flipkart family...thank uREAD MORE,Positive Review
Not badREAD MORE,Negative Review
OkREAD MORE,Positive Review
Original Quality. One shuttle last for atleast 9 sets if you are of an Intermediate level.READ MORE,Positive Review
Very bad qualityShuttle life is very badREAD MORE,Negative Review
Bad qualityREAD MORE,Negative Review
Best for beginnersREAD MORE,Positive Review
"I've been delivered with original and sealed,they are awesomeREAD MORE",Positive Review
One out of six is so speed. Others are very suit to indoor.READ MORE,Positive Review
Very good qualityREAD MORE,Positive Review
Poor qualityREAD MORE,Positive Review
Good qwalityREAD MORE,Positive Review
Good quality  👍Genuine product from yonex 👍READ MORE,Positive Review
It is very good it has came with excellent packagingREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Good productREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
Nice productREAD MORE,Positive Review
Nice product but slow deliveredREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Great shuttle for practice...... Lasting for 5 to 6 sets (heavy play)READ MORE,Positive Review
Good 🏸READ MORE,Positive Review
Good oneREAD MORE,Positive Review
Original shuttle.. timely deliveryREAD MORE,Positive Review
SuperbREAD MORE,Positive Review
Best king of king ShuttlecockREAD MORE,Positive Review
Bad quality. Suggested to low level playersREAD MORE,Negative Review
Products delivered are good and within the time.Thank you FlipcartREAD MORE,Positive Review
I felt it authenticREAD MORE,Positive Review
Brand remain same. But awesome Delivery scheduleREAD MORE,Positive Review
Poor quality shuttle head comes out easily.hopeless product very disappointingREAD MORE,Negative Review
Amazing genuine product at best price...go ahead without any further thought.READ MORE,Positive Review
GoodREAD MORE,Positive Review
Nice product ND nce deliveryREAD MORE,Positive Review
NycREAD MORE,Positive Review
"While playing, going like a rocket speed to out of the  ground... speed of the cork is too high....READ MORE",Negative Review
200 is almost same.READ MORE,Positive Review
GoodREAD MORE,Positive Review
"Good quality, value for moneyREAD MORE",Positive Review
SuperREAD MORE,Positive Review
NiceREAD MORE,Positive Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
SuperREAD MORE,Positive Review
GoodREAD MORE,Negative Review
Shuttles are not in good condition. Even after one game shuttle start to wobble and it doesn’t feel like mavis 350. Feels like a cheap knockoff of the yonexREAD MORE,Negative Review
Good qualityREAD MORE,Positive Review
Quality  was  very bad thos time .shuttle became  useless with in an hour.very bad  all shuttles separated.  Never expected  from flipkartREAD MORE,Negative Review
Excellent quality shuttleREAD MORE,Positive Review
GoodREAD MORE,Negative Review
Product packing was goodREAD MORE,Positive Review
Some shuttle having unbalanced flightRest goodREAD MORE,Positive Review
Shuttles are good but easily gets worn out after 5 games.READ MORE,Positive Review
GoodREAD MORE,Positive Review
"Good and original ones....can understand the higher price due to the current demand. But, the price is still less compared to retail outlets in the cityREAD MORE",Positive Review
Worst shuttles.. Started wobbling in first game itself..  DO NOT BUYREAD MORE,Negative Review
AwesomeREAD MORE,Positive Review
Amazing product❤ Fully satisfied! I love you flipkart marry me🙆🏻‍♂️READ MORE,Positive Review
"Slow shuttle ,old material Only for kidsREAD MORE",Negative Review
Good shuttle for outdoor long lastingREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
Super qualityREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Superb fresh article.READ MORE,Positive Review
Really good product. Yes really 350 nylon shuttleREAD MORE,Positive Review
It's original oneREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Fast Delivery ThankQ..READ MORE,Positive Review
Received good quality productREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Not goodREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Good productREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Good qualityREAD MORE,Positive Review
Good productREAD MORE,Positive Review
"Great experience with this product , WorthyREAD MORE",Positive Review
SuperREAD MORE,Positive Review
Good productREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Very nice it withstands so long compared to Mavis 10 or mavis 200i. Anyone can choose this one for long durability.READ MORE,Positive Review
NiceREAD MORE,Positive Review
Good..READ MORE,Positive Review
All the shuttle were defectiveREAD MORE,Negative Review
Delivery boy good workREAD MORE,Positive Review
Original for sure!!READ MORE,Positive Review
Its not good qualityREAD MORE,Negative Review
Good Shuttle!!READ MORE,Positive Review
ExcellentREAD MORE,Positive Review
Good packing and quick delivery from flipkart. Drawbacks are price is high.READ MORE,Positive Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Original Mavis 350 shuttle with nice packing and quick delivery.READ MORE,Positive Review
Nice ... completely genuine 👍👌🙂READ MORE,Positive Review
Superb quality. super fast deliveryREAD MORE,Positive Review
Prompt delivery. Product is good.READ MORE,Positive Review
Nice productREAD MORE,Positive Review
good qltyREAD MORE,Positive Review
Bad Shuttle and bad quality....it is for kids onlyREAD MORE,Negative Review
Good one reached in timeREAD MORE,Positive Review
Thank you for Timely delivered. Item was in good conditions.READ MORE,Positive Review
I like this seller he given best priceREAD MORE,Positive Review
good and fast serviceREAD MORE,Positive Review
Excellent Product!READ MORE,Positive Review
Good productREAD MORE,Positive Review
Vry nice product... Lov itREAD MORE,Positive Review
So badREAD MORE,Negative Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Super 360 is great👍👍👍👍READ MORE,Positive Review
Nice productREAD MORE,Positive Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Shuttles are very slowREAD MORE,Negative Review
Very nice and durable shuttle I have come acrossREAD MORE,Positive Review
👍good oneREAD MORE,Positive Review
NiceREAD MORE,Positive Review
The product is original and packing was good. But yonex shuttle have become expensiveREAD MORE,Positive Review
Worst product i received...damaged in one game and received horrible oneREAD MORE,Negative Review
Nice but slowREAD MORE,Positive Review
Its value for money and most importantly it's originalREAD MORE,Positive Review
AwwssmmREAD MORE,Positive Review
Very bad quality.it is not look like as brandedREAD MORE,Negative Review
goodREAD MORE,Positive Review
Good Quality of shuttles and quick delivery by Flipkart delivery boy.READ MORE,Positive Review
Good qualityREAD MORE,Positive Review
Bad quality productREAD MORE,Negative Review
"This is the second box I have received, they are not long lasting if you are getting this in 900 rs range.just check the mfg date before purchasing.not sure about the quality.Durability of the original ones are better than what I have received.READ MORE",Positive Review
"Local brand, shuttle got damaged in two days all 6 piecesREAD MORE",Negative Review
Bad qualityREAD MORE,Positive Review
Good productREAD MORE,Positive Review
Delivered in time. Good packing.READ MORE,Positive Review
Very fast explosion 💥READ MORE,Negative Review
Amazing product by flipkart 👍😊😊READ MORE,Positive Review
Few shuttles have stain in shuttle head..READ MORE,Positive Review
SupwrREAD MORE,Positive Review
Nice shuttleREAD MORE,Negative Review
SuperREAD MORE,Positive Review
Excellent performanceREAD MORE,Positive Review
Good qualityREAD MORE,Positive Review
Low quality...READ MORE,Negative Review
NiceREAD MORE,Positive Review
Good Mavis 350READ MORE,Positive Review
AverageREAD MORE,Negative Review
Simply SuperREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Good products original shuttleREAD MORE,Positive Review
worstREAD MORE,Negative Review
Its the original produt im getting at good prices compared to offline storesREAD MORE,Positive Review
SuperbREAD MORE,Positive Review
OkREAD MORE,Positive Review
ExcellentREAD MORE,Positive Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
SuperREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Best shuttle for outdoor badmintonREAD MORE,Negative Review
GoodREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Recieved  Original product...READ MORE,Positive Review
Nice productREAD MORE,Positive Review
Deliever fast.READ MORE,Positive Review
"Go and buy from nearest store, it is good but are breaking quickly with bad flight patternREAD MORE",Negative Review
It's goodREAD MORE,Positive Review
Excellent productsREAD MORE,Positive Review
This product is very attractive and amazingREAD MORE,Positive Review
GoodREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Nice oneREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Nice productREAD MORE,Positive Review
It's amazing 😍READ MORE,Positive Review
Shuttle is very slow compared to white mavis 350READ MORE,Negative Review
Very goodREAD MORE,Positive Review
Bad qualityREAD MORE,Negative Review
OkREAD MORE,Positive Review
Best shuttlecock at best priceREAD MORE,Positive Review
NiceREAD MORE,Positive Review
OkREAD MORE,Negative Review
Original product . We want many more so please maintain the qualityREAD MORE,Positive Review
Gd.productREAD MORE,Positive Review
nice workREAD MORE,Positive Review
GoodREAD MORE,Positive Review
very goodREAD MORE,Positive Review
ExcellentREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
NiceREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Product was delivered in good conditionREAD MORE,Positive Review
"Not good,READ MORE",Negative Review
Awesome product ❤️READ MORE,Positive Review
GenuineREAD MORE,Positive Review
AssumeREAD MORE,Positive Review
GreatREAD MORE,Positive Review
SuperREAD MORE,Positive Review
Very niceREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Thanks flipkartREAD MORE,Positive Review
See the quality is good but the price has become too high so i gave 1 starREAD MORE,Negative Review
OkREAD MORE,Positive Review
Super productREAD MORE,Positive Review
HappyREAD MORE,Positive Review
4 damage pieceREAD MORE,Negative Review
Not get right boxREAD MORE,Positive Review
GoodREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Quality is perfect as mentionedREAD MORE,Positive Review
It’s a original productREAD MORE,Positive Review
GoodREAD MORE,Positive Review
NiceREAD MORE,Positive Review
Good💖READ MORE,Positive Review
Superb👌👌READ MORE,Positive Review
Very Good product.READ MORE,Positive Review
ExcellentREAD MORE,Positive Review
Best qualityREAD MORE,Positive Review
Nice shuttles...READ MORE,Positive Review
Good product 👍READ MORE,Positive Review
GoodREAD MORE,Positive Review
Really good. ThanksREAD MORE,Positive Review
Good & fresh shuttleREAD MORE,Positive Review
Price is toooo highREAD MORE,Negative Review
It's goodREAD MORE,Positive Review
Didn't last as expected. The cork was of not good quality and came out from the nylon feather.READ MORE,Negative Review
Very good productREAD MORE,Positive Review
Very durble shuttle...READ MORE,Positive Review
Better to buy from a reliable sports shop .READ MORE,Negative Review
Good qualityREAD MORE,Positive Review
SuperREAD MORE,Positive Review
I love the shuttles... it was really good and durable...READ MORE,Positive Review
It's been very goodREAD MORE,Negative Review
GoodREAD MORE,Positive Review
Very nice plz maintain 899 price thankyouREAD MORE,Positive Review
Very good item are received Happy for thatREAD MORE,Positive Review
ThanksREAD MORE,Positive Review
Good QualityREAD MORE,Positive Review
Best shuttle under 900READ MORE,Positive Review
Very niceREAD MORE,Positive Review
Shuttle quality is good but packing is not goodREAD MORE,Positive Review
Very goodREAD MORE,Positive Review
Very badREAD MORE,Positive Review
HappyREAD MORE,Positive Review
Thanks for quick deliveryOriginal productREAD MORE,Positive Review
Good purchase. Genuine product. Fast delivery. Thank youREAD MORE,Positive Review
"Not durable,broken easily and not cost effectiveREAD MORE",Negative Review
Very niceREAD MORE,Positive Review
"Not durable, 1 shuttle lost every 8 matches.Edge gets cut. Base is also cutting 🥺🥺READ MORE",Negative Review
The quality of the shettle were not good as exceptedREAD MORE,Negative Review
Genuine productREAD MORE,Positive Review
Good and original productREAD MORE,Positive Review
Long lastingREAD MORE,Positive Review
Delivered on time and delivery executive is so Pro active. He delivered to security when he sensed am in the meeting .. thanks to such guysREAD MORE,Positive Review
Box damagedREAD MORE,Negative Review
Don’t buy the product is very bad got bent after few days of using itREAD MORE,Negative Review
BedREAD MORE,Negative Review
Excellent product must buyValue for money Long lastingREAD MORE,Positive Review
Good products and i played with itI prefer to buy this OnlyREAD MORE,Positive Review
UsefulREAD MORE,Positive Review
NiceREAD MORE,Positive Review
AwesomeREAD MORE,Positive Review
goodREAD MORE,Negative Review
Totally disappointed local plasticPlease don't buyREAD MORE,Negative Review
Nice original productREAD MORE,Positive Review
Product was not goodREAD MORE,Negative Review
Quality not goodREAD MORE,Negative Review
SuperREAD MORE,Positive Review
GoodREAD MORE,Positive Review
GdREAD MORE,Positive Review
Good ProductREAD MORE,Positive Review
Good may god bless you my childREAD MORE,Positive Review
Its really goodREAD MORE,Positive Review
Super.mavis.350.thankyou.flipcartREAD MORE,Positive Review
Nice productsREAD MORE,Positive Review
GoodREAD MORE,Positive Review
"Nice , comfortable for playing, compare to 200i, this is the bestREAD MORE",Positive Review
Long lasting good qualityREAD MORE,Positive Review
GoodREAD MORE,Positive Review
Poor quality..READ MORE,Negative Review
Good productREAD MORE,Positive Review
Absolutely genuine shuttles. They last very long and are strong. I loved it... Very worthy for your money.READ MORE,Positive Review
Nicely sealed box and looks genuineREAD MORE,Positive Review
Not as real mevis 350READ MORE,Negative Review
"Low quality product, one shuttle starts tearing up after 7-8 games.READ MORE",Negative Review
GoodREAD MORE,Negative Review
OkREAD MORE,Positive Review
Nice n original productREAD MORE,Positive Review
